,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f,0.349,0.058,0.25,0.438,0.001,0.0,7282.952,4505.087,1.001
delta[0],-0.386,0.486,-1.314,0.509,0.004,0.006,12320.712,5855.839,1.0
delta[1],-0.031,0.048,-0.121,0.059,0.0,0.001,11318.981,5620.883,1.002
delta[2],-0.134,0.468,-0.962,0.776,0.004,0.006,12740.245,6050.099,1.001
delta[3],0.107,0.456,-0.715,0.993,0.004,0.005,13010.819,6221.918,1.0
delta[4],1.042,0.719,-0.325,2.369,0.007,0.008,11044.586,6063.462,1.0
delta[5],0.334,0.468,-0.556,1.214,0.005,0.005,10620.486,5563.156,1.001
delta[6],-0.094,0.096,-0.274,0.084,0.001,0.001,10849.808,6457.755,1.0
x_bulk[0],51.18,0.57,50.085,52.225,0.005,0.007,12906.933,5533.852,1.0
x_bulk[1],0.694,0.049,0.603,0.784,0.0,0.001,11380.909,5509.803,1.001
x_bulk[2],11.384,0.433,10.592,12.209,0.004,0.005,12702.02,5681.367,1.0
x_bulk[3],11.394,0.423,10.611,12.214,0.004,0.005,12798.49,6347.957,1.0
x_bulk[4],14.032,0.624,12.898,15.212,0.006,0.007,10975.043,6049.377,1.0
x_bulk[5],10.131,0.431,9.34,10.97,0.004,0.005,10604.084,5951.895,1.001
x_bulk[6],1.185,0.095,1.002,1.356,0.001,0.001,10683.291,6484.237,1.0
x_lower[0],50.736,0.888,49.11,52.45,0.008,0.011,12817.912,5498.74,1.0
x_lower[1],0.674,0.076,0.537,0.819,0.001,0.001,11283.971,5515.704,1.002
x_lower[2],11.26,0.67,10.016,12.539,0.006,0.008,12596.374,6160.648,1.0
x_lower[3],11.398,0.656,10.223,12.691,0.006,0.008,12656.99,6438.661,1.0
x_lower[4],14.539,0.976,12.658,16.287,0.009,0.011,11011.753,6056.767,1.0
x_lower[5],10.266,0.669,8.98,11.498,0.006,0.008,10628.693,5918.847,1.001
x_lower[6],1.128,0.149,0.857,1.409,0.001,0.002,10428.479,6485.617,1.0
closure_error,0.0,0.0,0.0,0.0,0.0,0.0,7287.552,4532.491,1.001
