,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f,0.337,0.071,0.222,0.45,0.001,0.001,9916.245,4902.455,1.001
delta[0],-0.923,0.679,-2.254,0.295,0.006,0.008,12125.845,6251.479,1.001
delta[1],-0.091,0.066,-0.215,0.029,0.001,0.001,10717.255,5960.26,1.001
delta[2],-0.764,0.644,-2.019,0.426,0.006,0.008,12412.145,5273.414,1.0
delta[3],0.119,0.553,-0.907,1.15,0.005,0.006,10927.329,6054.122,1.0
delta[4],2.693,1.085,0.57,4.635,0.01,0.014,10968.287,5063.249,1.0
delta[5],0.644,0.651,-0.6,1.852,0.006,0.008,12065.82,5474.247,1.0
delta[6],-0.307,0.137,-0.562,-0.049,0.001,0.002,13241.627,6450.473,1.001
x_bulk[0],50.386,0.78,48.976,51.871,0.007,0.009,13422.47,6857.725,1.001
x_bulk[1],0.631,0.066,0.504,0.748,0.001,0.001,10937.915,6090.111,1.001
x_bulk[2],10.702,0.595,9.579,11.826,0.005,0.007,11749.538,6039.076,1.001
x_bulk[3],11.346,0.518,10.448,12.375,0.005,0.006,11312.343,6581.62,1.0
x_bulk[4],15.584,0.93,13.887,17.388,0.009,0.012,10850.642,5038.071,1.0
x_bulk[5],10.383,0.599,9.289,11.533,0.005,0.007,12213.832,5538.073,1.0
x_bulk[6],0.969,0.135,0.722,1.228,0.001,0.002,13121.902,6450.748,1.001
x_lower[0],49.544,1.217,47.255,51.771,0.01,0.014,13490.529,6438.757,1.001
x_lower[1],0.578,0.102,0.386,0.767,0.001,0.001,10753.653,6065.199,1.001
x_lower[2],10.226,0.921,8.5,11.951,0.009,0.011,11718.23,5700.38,1.0
x_lower[3],11.326,0.79,9.802,12.736,0.007,0.009,11333.962,6604.806,1.0
x_lower[4],16.879,1.465,14.218,19.737,0.014,0.018,11327.964,5308.338,1.0
x_lower[5],10.645,0.918,8.979,12.443,0.008,0.011,12126.847,5561.53,1.0
x_lower[6],0.802,0.211,0.403,1.188,0.002,0.002,12926.425,6593.366,1.0
closure_error,0.0,0.0,0.0,0.0,0.0,0.0,9916.287,4902.455,1.001
