run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0000_upper,0,0,7.0,7.5304,7.5304,Al_depleted,11.289,0,0.8281,0.2,0.05,0.35,0.4,0.15,174432,East Pilbara Terrane,Basalt,upper,59.8854,0.9479,10.7006,9.2872,7.5304,9.2893,2.3592
p0000_lower,0,0,7.0,7.5304,7.5304,Al_depleted,11.289,0,0.8281,0.2,0.05,0.35,0.4,0.15,174432,East Pilbara Terrane,Basalt,lower,49.9905,0.2875,13.8576,6.1536,15.1139,13.3689,1.2278
p0001_upper,1,0,7.0,6.9706,6.9706,Al_depleted,12.134,1,0.7723,0.2,0.05,0.35,0.4,0.15,83219,MURCHISON,metabasalt,upper,53.2541,1.1865,14.3967,12.2107,6.9706,11.8331,0.1483
p0001_lower,1,0,7.0,6.9706,6.9706,Al_depleted,12.134,1,0.7723,0.2,0.05,0.35,0.4,0.15,83219,MURCHISON,metabasalt,lower,48.841,0.3234,14.4129,7.4103,14.3656,13.7511,0.8957
p0002_upper,2,0,7.0,6.2934,6.2934,Al_depleted,12.028,2,0.7535,0.2,0.05,0.35,0.4,0.15,210917,Kalgoorlie,basalt,upper,54.5464,1.1088,13.3363,12.2309,6.2934,10.1947,2.2894
p0002_lower,2,0,7.0,6.2934,6.2934,Al_depleted,12.028,2,0.7535,0.2,0.05,0.35,0.4,0.15,210917,Kalgoorlie,basalt,lower,48.9851,0.3117,14.2536,7.6801,14.0471,13.505,1.2174
p0003_upper,3,0,7.0,6.6428,6.6428,Al_depleted,13.759,3,0.7465,0.2,0.05,0.35,0.4,0.15,182253,Kalgoorlie,metabasalt,upper,49.3831,1.1554,15.8969,13.4038,6.6428,12.0946,1.4233
p0003_lower,3,0,7.0,6.6428,6.6428,Al_depleted,13.759,3,0.7465,0.2,0.05,0.35,0.4,0.15,182253,Kalgoorlie,metabasalt,lower,48.1909,0.3187,14.6383,7.9552,14.0192,13.7904,1.0872
p0004_upper,4,0,7.0,6.2675,6.2675,Al_depleted,13.14,4,0.7593,0.2,0.05,0.35,0.4,0.15,176767,East Pilbara Terrane,Basalt,upper,54.0912,0.9979,13.1128,11.8026,6.2675,11.0299,2.6981
p0004_lower,4,0,7.0,6.2675,6.2675,Al_depleted,13.14,4,0.7593,0.2,0.05,0.35,0.4,0.15,176767,East Pilbara Terrane,Basalt,lower,48.9321,0.2951,14.22,7.5337,14.1099,13.6304,1.2788
p0005_upper,5,0,7.0,7.3497,7.3497,Al_depleted,11.657,5,0.7699,0.2,0.05,0.35,0.4,0.15,176791,East Pilbara Terrane,Basalt,upper,54.9462,1.1755,13.702,13.0512,7.3497,8.1885,1.5869
p0005_lower,5,0,7.0,7.3497,7.3497,Al_depleted,11.657,5,0.7699,0.2,0.05,0.35,0.4,0.15,176791,East Pilbara Terrane,Basalt,lower,49.0888,0.3217,14.3085,7.5709,14.3947,13.2036,1.1118
p0006_upper,6,0,7.0,6.9241,6.9241,Al_depleted,12.577,6,0.7413,0.2,0.05,0.35,0.4,0.15,214409,MURCHISON,amphibolite,upper,49.9837,1.168,14.6899,14.3542,6.9241,11.9645,0.9155
p0006_lower,6,0,7.0,6.9241,6.9241,Al_depleted,12.577,6,0.7413,0.2,0.05,0.35,0.4,0.15,214409,MURCHISON,amphibolite,lower,48.2676,0.3206,14.457,8.1701,14.0029,13.7708,1.011
p0007_upper,7,0,7.0,7.2743,7.2743,Al_depleted,11.57,7,0.7788,0.2,0.05,0.35,0.4,0.15,81747,MURCHISON,metabasalt,upper,53.6048,1.2738,14.7382,12.2763,7.2743,10.7273,0.1053
p0007_lower,7,0,7.0,7.2743,7.2743,Al_depleted,11.57,7,0.7788,0.2,0.05,0.35,0.4,0.15,81747,MURCHISON,metabasalt,lower,48.9112,0.3365,14.4642,7.327,14.487,13.585,0.8892
p0008_upper,8,0,7.0,7.4629,7.4629,Al_undepleted,16.881,0,0.7998,0.2,0.05,0.35,0.4,0.15,81314,MURCHISON,amphibolite,upper,53.2766,0.8707,14.6977,11.0986,7.4629,12.4899,0.1037
p0008_lower,8,0,7.0,7.4629,7.4629,Al_undepleted,16.881,0,0.7998,0.2,0.05,0.35,0.4,0.15,81314,MURCHISON,amphibolite,lower,48.919,0.2759,14.4581,6.845,14.7631,13.8498,0.889
p0009_upper,9,0,7.0,7.3653,7.3653,Al_undepleted,38.323,1,0.8771,0.2,0.05,0.35,0.4,0.15,182395,SOUTHERN CROSS,amphibolite derived from volcanic rock,upper,59.7165,0.384,14.7179,6.1318,7.3653,11.634,0.0505
p0009_lower,9,0,7.0,7.3653,7.3653,Al_undepleted,38.323,1,0.8771,0.2,0.05,0.35,0.4,0.15,182395,SOUTHERN CROSS,amphibolite derived from volcanic rock,lower,50.1056,0.2028,14.4611,4.93,15.6982,13.7212,0.881
p0010_upper,10,0,7.0,7.4388,7.4388,Al_undepleted,21.493,2,0.8108,0.2,0.05,0.35,0.4,0.15,177354,Kalgoorlie,basalt,upper,51.2948,0.7459,16.0322,10.3159,7.4388,12.3537,1.8188
p0010_lower,10,0,7.0,7.4388,7.4388,Al_undepleted,21.493,2,0.8108,0.2,0.05,0.35,0.4,0.15,177354,Kalgoorlie,basalt,lower,48.6515,0.2572,14.6586,6.5663,14.8905,13.8293,1.1467
p0011_upper,11,0,7.0,6.8441,6.8441,Al_undepleted,25.875,3,0.8249,0.2,0.05,0.35,0.4,0.15,81609,MURCHISON,komatiite,upper,56.4221,0.5878,15.2103,8.633,6.8441,12.1557,0.147
p0011_lower,11,0,7.0,6.8441,6.8441,Al_undepleted,25.875,3,0.8249,0.2,0.05,0.35,0.4,0.15,81609,MURCHISON,komatiite,lower,49.4611,0.2335,14.5351,6.1037,14.9716,13.7996,0.8955
