run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0000_lower_tl05,0,0,7.0,7.5304,7.5304,Al_depleted,11.289,0,0.8281,0.2,0.05,0.35,0.4,0.05,174432,East Pilbara Terrane,Basalt,lower,48.8244,0.2097,14.2297,5.7844,16.0076,13.8497,1.0945
p0001_lower_tl05,1,0,7.0,6.9706,6.9706,Al_depleted,12.134,1,0.7723,0.2,0.05,0.35,0.4,0.05,83219,MURCHISON,metabasalt,lower,48.3209,0.2217,14.4148,6.8446,15.2371,13.9771,0.9838
p0002_lower_tl05,2,0,7.0,6.2934,6.2934,Al_depleted,12.028,2,0.7535,0.2,0.05,0.35,0.4,0.05,210917,Kalgoorlie,basalt,lower,48.3297,0.2178,14.3617,7.1438,14.9609,13.8951,1.091
p0003_lower_tl05,3,0,7.0,6.6428,6.6428,Al_depleted,13.759,3,0.7465,0.2,0.05,0.35,0.4,0.05,182253,Kalgoorlie,metabasalt,lower,48.0504,0.2201,14.4899,7.3132,14.8885,13.9902,1.0476
p0004_lower_tl05,4,0,7.0,6.2675,6.2675,Al_depleted,13.14,4,0.7593,0.2,0.05,0.35,0.4,0.05,176767,East Pilbara Terrane,Basalt,lower,48.3241,0.2122,14.3505,7.0306,15.0341,13.9369,1.1115
p0005_lower_tl05,5,0,7.0,7.3497,7.3497,Al_depleted,11.657,5,0.7699,0.2,0.05,0.35,0.4,0.05,176791,East Pilbara Terrane,Basalt,lower,48.3985,0.2211,14.38,6.9251,15.2249,13.7946,1.0558
p0006_lower_tl05,6,0,7.0,6.9241,6.9241,Al_depleted,12.577,6,0.7413,0.2,0.05,0.35,0.4,0.05,214409,MURCHISON,amphibolite,lower,48.0654,0.2207,14.4295,7.4413,14.8372,13.9837,1.0222
p0007_lower_tl05,7,0,7.0,7.2743,7.2743,Al_depleted,11.57,7,0.7788,0.2,0.05,0.35,0.4,0.05,81747,MURCHISON,metabasalt,lower,48.358,0.226,14.4319,6.7437,15.3369,13.9217,0.9816
p0008_lower_tl05,8,0,7.0,7.4629,7.4629,Al_undepleted,16.881,0,0.7998,0.2,0.05,0.35,0.4,0.05,81314,MURCHISON,amphibolite,lower,48.4055,0.2059,14.4299,6.3437,15.6235,14.01,0.9816
p0009_lower_tl05,9,0,7.0,7.3653,7.3653,Al_undepleted,38.323,1,0.8771,0.2,0.05,0.35,0.4,0.05,182395,SOUTHERN CROSS,amphibolite derived from volcanic rock,lower,48.973,0.1815,14.4309,4.7884,16.6802,13.9672,0.9789
